,1.916666667
Accessories,3.615384615
Accountants,3.75
Active Life,4.123786408
Acupuncture,4.366666667
Adult,2.875
Adult Education,4.25
Advertising,5
Afghan,3.25
African,3
Air Duct Cleaning,5
Aircraft Dealers,4.5
Aircraft Repairs,4.5
Airport Shuttles,3.875
Airports,4.25
Allergists,2
Amateur Sports Teams,3.8
American (New),3.475694444
American (Traditional),3.373271889
Amusement Parks,3.333333333
Animal Shelters,3.5
Antiques,3.9
Apartments,2.569767442
Appliances,3.394736842
Appliances & Repair,3.884615385
Appraisal Services,3.5
Arcades,3.5
Argentine,3.5
Art Classes,4.625
Art Galleries,4.289473684
Art Museums,4.25
Art Schools,4.75
Art Supplies,3.882352941
Arts & Crafts,4.103448276
Arts & Entertainment,3.948717949
Asian Fusion,3.377777778
Auction Houses,3.5
Auto Customization,4.666666667
Auto Detailing,4.142857143
Auto Glass Services,4.291666667
Auto Insurance,2.833333333
Auto Parts & Supplies,3.740740741
Auto Repair,3.665517241
Automotive,3.5472103
Baby Gear & Furniture,3.458333333
Bagels,3.176470588
Bakeries,3.935714286
Banks & Credit Unions,3.454545455
Barbeque,3.706896552
Barbers,3.985294118
Barre Classes,4.555555556
Bars,3.487654321
Bartenders,4.5
Basketball Courts,3
Battery Stores,4.5
Beaches,4
Beauty & Spas,3.833855799
Bed & Breakfast,4.277777778
Beer,3.901639344
Beer Bar,3.45
Beer Gardens,4
Belgian,3.833333333
Bespoke Clothing,4.25
Bike Rentals,4.233333333
Bike Repair/Maintenance,4.35
Bikes,4.134615385
Bistros,4
Blood & Plasma Donation Centers,3.5
Blow Dry/Out Services,4.083333333
Boat Charters,2.75
Boat Dealers,4.5
Boat Repair,3
Boating,4.375
Body Shops,3.976190476
Books,3.9
Bookstores,3.944444444
Boot Camps,4.3
Botanical Gardens,4.75
Bowling,3.136363636
Boxing,4.75
Brasseries,3.5
Brazilian,3.833333333
Breakfast & Brunch,3.542553191
Breweries,3.777777778
Brewing Supplies,4
Bridal,3.833333333
British,3.75
Bubble Tea,3.4
Buffets,2.714285714
Building Supplies,3.738095238
Burgers,3.207964602
Bus Tours,5
Business Consulting,3.5
Butcher,4.75
CPR Classes,3
Cabinetry,3.25
Cafes,3.861538462
Cajun/Creole,3.642857143
Cambodian,3
Campgrounds,4
Candy Stores,4.4
Cantonese,3.375
Car Buyers,3
Car Dealers,3.22826087
Car Rental,2.923076923
Car Stereo Installation,3.4375
Car Wash,3.333333333
Cardiologists,2.5
Cards & Stationery,4
Caribbean,3.909090909
Carpenters,4
Carpet Cleaning,4.321428571
Carpet Installation,2
Carpeting,3.25
Casinos,2
Caterers,3.542553191
Challenge Courses,4.833333333
Cheese Shops,4.136363636
Cheesesteaks,3.25
Chicken Shop,4.25
Chicken Wings,2.62195122
Child Care & Day Care,4.35
Children's Clothing,3.55
Children's Museums,4
Chimney Sweeps,2
Chinese,3.307228916
Chiropractors,4.607142857
Chocolatiers & Shops,4.35
Christmas Trees,3.5
Churches,4.5
Cinema,3.363636364
Climbing,3.5
Clock Repair,3.666666667
Cocktail Bars,3.558823529
Coffee & Tea,3.865517241
Coffee Roasteries,4.5
Colleges & Universities,4.357142857
Colombian,4.75
Comedy Clubs,4
Comfort Food,3.305555556
Comic Books,3.928571429
Commercial Real Estate,1
Commercial Truck Dealers,3.875
Community Service/Non-Profit,4.1
Computers,3.59375
Contractors,3.696428571
Convenience Stores,3.256410256
Cooking Classes,3.5
Cooking Schools,4.25
Cosmetic Dentists,4.1875
Cosmetic Surgeons,2.833333333
Cosmetics & Beauty Supply,3.358974359
Cosmetology Schools,3.333333333
Costumes,3.833333333
Counseling & Mental Health,3.666666667
Countertop Installation,4
Country Clubs,4.25
Couriers & Delivery Services,3.25
Creperies,4.5
Cuban,4.25
Cupcakes,3.75
Customized Merchandise,5
Cycling Classes,4.75
DJs,4.75
Damage Restoration,3.5
Dance Clubs,3.033333333
Dance Schools,4.75
Dance Studios,4.285714286
Data Recovery,4.3
Day Spas,4.09375
Delis,3.510638298
Dentists,4.177777778
Department Stores,3.069444444
Departments of Motor Vehicles,4
Dermatologists,2.5
Desserts,3.887096774
Diagnostic Imaging,3
Diagnostic Services,3.666666667
Dim Sum,3.6
Diners,3.3
Disc Golf,5
Discount Store,2.9375
Distilleries,4.75
Dive Bars,3.589285714
Diving,5
Do-It-Yourself Food,3.3
Doctors,3.223684211
Dog Parks,4.3125
Dog Walkers,4.4
Donuts,3.409090909
Door Sales/Installation,2.5
Driving Schools,3.5
Drugstores,3.014705882
Dry Cleaning,4.5
Dry Cleaning & Laundry,3.0625
Drywall Installation & Repair,4
Education,4.114583333
Educational Services,4.333333333
Electricians,4.428571429
Electronics,2.90625
Electronics Repair,3.923076923
Elementary Schools,4.083333333
Embroidery & Crochet,5
Emergency Rooms,3.5
Empanadas,4.25
Employment Agencies,3.5
Endodontists,4.166666667
Engraving,3.5
Escape Games,4.375
Estate Liquidation,3.5
Ethiopian,3.5
Ethnic Food,4
Ethnic Grocery,4
Event Photography,5
Event Planning & Services,3.568376068
Eyebrow Services,5
Eyelash Service,4.2
Eyewear & Opticians,3.604166667
Fabric Stores,3.214285714
Falafel,3.625
Family Practice,3.5
Farmers Market,4.166666667
Fashion,3.564102564
Fast Food,2.952586207
Festivals,4
Filipino,3.5
Financial Services,3.5625
Fire Protection Services,4.5
Fireplace Services,2.5
Fish & Chips,3.555555556
Fishing,4.75
Fitness & Instruction,4.25
Fitness/Exercise Equipment,5
Flight Instruction,4.5
Float Spa,5
Flooring,3.45
Florists,4.176470588
Flowers & Gifts,4.211111111
Fondue,3
Food,3.784246575
Food Court,3.333333333
Food Delivery Services,3.576923077
Food Stands,4.321428571
Food Tours,5
Food Trucks,4.217391304
Formal Wear,3.071428571
Framing,4.7
French,4.111111111
Fruits & Veggies,4.285714286
Funeral Services & Cemeteries,4.75
Furniture Repair,5
Furniture Reupholstery,5
Furniture Stores,3.25
Garage Door Services,4.125
Gardeners,3.25
Gas & Service Stations,3.517857143
Gastropubs,3.666666667
Gay Bars,3.571428571
Gelato,3.75
General Dentistry,4.175
German,3.25
Gift Shops,4.25
Glass & Mirrors,4.166666667
Gluten-Free,3.861111111
Gold Buyers,4.166666667
Golf,3.681818182
Golf Equipment,3
Golf Lessons,4
Graphic Design,5
Greek,3.529411765
Grocery,3.713414634
Guitar Stores,4.5
Guns & Ammo,4
Gutter Services,4.5
Gymnastics,4.2
Gyms,4.196721311
Hair Extensions,4
Hair Removal,4.183673469
Hair Salons,3.933884298
Hair Stylists,3.846153846
Halal,3.166666667
Handyman,3.5
Hardware Stores,3.611111111
Hats,2.5
Haunted Houses,4
Hawaiian,4.5
Head Shops,4
Health & Medical,4.016759777
Health Markets,3.958333333
Health Retreats,3.75
Heating & Air Conditioning/HVAC,4.035714286
Henna Artists,5
Herbs & Spices,4.375
High Fidelity Audio Equipment,5
Hiking,4.583333333
Himalayan/Nepalese,3.7
Historical Tours,3.5
Hobby Shops,3.5
Home & Garden,3.579310345
Home & Rental Insurance,2.833333333
Home Cleaning,3.760869565
Home Decor,3.607142857
Home Health Care,5
Home Inspectors,4.5
Home Organization,3.5
Home Services,3.468627451
Home Staging,5
Home Theatre Installation,4.125
Home Window Tinting,5
Hookah Bars,3.833333333
Hospitals,3.333333333
Hostels,3.5
Hot Dogs,3.785714286
Hot Pot,4.5
Hot Tub & Pool,3.75
